collection_date,isolation_type,min_same,min_diff,serovar_new,country,isolation_source_new,num_close,antigen_formula_new,suscept_sim,mds_a_complete,mds_b_complete,sul2_complete,sul1_complete,bla_tem_1_complete,aad_a1_complete,fos_a7_complete,bla_cmy_2_complete,tet_a_complete,aph_3_ib_complete,aph_6_id_complete,tet_b_complete,streptomycin
2008,environmental/other,0,35,Other,USA,pork,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2005,environmental/other,27,30,Anatum,USA,turkey,0,Other,0.7906976744186046,1,1,0,0,0,0,0,0,0,0,0,1,1
2012,environmental/other,5,18,Anatum,USA,turkey,1,Other,0.9302325581395348,1,1,0,0,1,1,0,0,1,0,0,0,0
2012,environmental/other,5,17,Kentucky,USA,chicken,1,Other,0.9302325581395348,1,1,0,0,1,1,0,0,1,0,0,0,0
2012,environmental/other,6,13,Anatum,USA,turkey,1,Other,0.9302325581395348,1,1,0,0,1,1,0,0,1,0,0,0,0
2014,environmental/other,11,15,Other,USA,pork,0,Other,0.9727564102564102,1,1,0,0,0,0,0,0,0,0,0,1,1
2014,environmental/other,8,8,Other,USA,pork,0,Other,0.9727564102564102,1,1,0,0,0,0,0,0,0,0,0,1,1
2014,environmental/other,8,12,Other,USA,pork,0,Other,0.9182692307692308,1,1,0,0,0,0,0,0,0,0,0,1,1
2014,environmental/other,9,13,Other,USA,pork,0,Other,0.9727564102564102,1,1,0,0,0,0,0,0,0,0,0,1,1
2014,environmental/other,27,38,Other,USA,pork,0,Other,0.8942307692307693,1,1,0,0,0,0,1,0,0,0,0,1,1
