collection_date,isolation_type,min_same,min_diff,country,isolation_source_new,num_close,suscept_sim,resist_sim,bla_oxa_193_complete,x50s_l22_a103v_point,gyr_a_t86i_point,bla_oxa_complete,tet_o_complete,aph_3_ii_ia_complete,gentamicin
2017,environmental/other,1,11,USA,chicken,1,0.9673060156931124,1,0,0,0,0,0,0,1
2017,environmental/other,1,10,USA,chicken,1,0.9673060156931124,1,0,0,0,0,0,0,1
2018,environmental/other,4,5,USA,chicken,2,0.9673060156931124,1,0,0,0,0,0,0,1
2018,environmental/other,3,3,USA,chicken,2,0.9673060156931124,1,0,0,0,0,0,0,1
2018,environmental/other,3,10,USA,chicken,1,0.9673060156931124,1,0,0,0,0,0,0,1
2018,environmental/other,8,14,USA,chicken,0,0.9673060156931124,1,0,0,0,0,0,0,1
2019,environmental/other,2,5,USA,other/unspecified,2,0.9673060156931124,1,0,0,0,0,0,0,1
2019,environmental/other,1,8,USA,other/unspecified,1,0.9673060156931124,0.9885714285714284,0,0,0,0,0,0,1
2017,environmental/other,6,12,USA,chicken,1,0.9673060156931124,1,0,0,0,0,0,0,1
2019,environmental/other,2,8,USA,chicken,1,0.9084568439407148,1,0,0,0,0,0,0,1
2019,environmental/other,3,14,USA,chicken,1,0.9673060156931124,1,0,0,0,0,0,0,1
2019,environmental/other,2,9,USA,chicken,1,0.9084568439407148,1,0,0,0,0,0,0,1
2019,environmental/other,4,7,USA,chicken,2,0.9084568439407148,1,0,0,0,0,0,0,1
2019,environmental/other,3,1,USA,chicken,2,0.9084568439407148,1,0,0,0,0,0,0,1
2019,environmental/other,0,3,USA,chicken,2,0.9673060156931124,1,0,0,0,0,0,0,1
