"collection_date","location","isolation_type","snp_cluster","min_same","min_diff","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","mdsA.COMPLETE","mdsB.COMPLETE","sul2.COMPLETE","sul1.COMPLETE","blaTEM.1.COMPLETE","aadA1.COMPLETE","fosA7.COMPLETE","blaCMY.2.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..B...COMPLETE","tetracycline","streptomycin","sulfisoxazole","ampicillin"
2016,"USA:AL","environmental/other","PDS000030461.6",21,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
NA,"USA","clinical","PDS000029561.5",10,NA,"Typhimurium",NA,"USA",NA,NA,"4:i:1,2",NA,"1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0"
2014,"USA:AL","environmental/other","PDS000030366.8",25,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.88659793814433,"1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1"
2019,"USA:TN","environmental/other","PDS000030366.8",0,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.88659793814433,"1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1"
2016,"USA:UT","environmental/other","PDS000030318.5",NA,23,"Typhimurium","Typhimurium","USA","pork",NA,"4:i:1,2",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2016,"USA:CO","environmental/other","PDS000030434.5",19,NA,"Cerro","Other","USA","beef",NA,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2009,"USA:MN","environmental/other","PDS000030654.1",0,NA,"Tennessee","Other","USA","turkey",NA,"Other",0.896995708154506,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2011,"USA:GA","environmental/other","PDS000030654.1",4,NA,"Tennessee","Other","USA","turkey",NA,"Other",0.948497854077253,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2011,"USA:GA","environmental/other","PDS000030654.1",6,NA,"Tennessee","Other","USA","turkey",NA,"Other",0.948497854077253,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2016,"USA:TX","environmental/other","PDS000045243.12",16,NA,"Anatum","Anatum","USA","beef",NA,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2010,"USA:NY","environmental/other","PDS000004792.15",5,25,"Derby","Other","USA","pork",1,"Other",1,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2010,"USA:TN","environmental/other","PDS000004792.15",15,23,"Derby","Other","USA","pork",0,"Other",1,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2014,"USA:AL","environmental/other","PDS000027360.8",23,29,"Agona","Other","USA","pork",0,"Other",0.803108808290155,"1","1","0","1","0","0","1","0","1","0","0","0","0","1","0","1"
2014,"USA:IN","environmental/other","PDS000027360.8",26,8,"Agona","Other","USA","pork",0,"Other",0.803108808290155,"1","1","0","1","0","0","1","0","1","0","0","0","0","1","1","1"
2014,"USA:WA","environmental/other","PDS000043693.10",22,21,"Derby","Other","USA","pork",0,"Other",NA,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2014,"USA","clinical","PDS000029450.6",18,16,"Typhimurium","Typhimurium","USA","stool",0,"4:i:1,2",NA,"1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1"
